Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 07/21  01:00:00,18.966,1.25,1.25,,,0.0,,,,29.01884771711173,,,,,,,,,,,,,,,,,,,,,,,,29.15875554528598,-85.68801157756765,-85.58302469035524 
 07/21  02:00:00,18.244,3.25,3.25,,,0.0,,,,28.77327852344026,,,,,,,,,,,,,,,,,,,,,,,,28.913054151016663,-84.00675562558769,-84.41008846277856 
 07/21  03:00:00,17.731,3.375,3.375,,,0.0,,,,28.53393261104575,,,,,,,,,,,,,,,,,,,,,,,,28.673339104698155,-82.36638060841562,-82.5616203588418 
 07/21  04:00:00,17.275000000000002,1.125,1.125,,,0.0,,,,28.295120216814606,,,,,,,,,,,,,,,,,,,,,,,,28.43580572177013,-82.80934542385252,-82.69277973884634 
 07/21  05:00:00,16.913999999999998,1.875,1.875,,,0.0,,,,28.058539419535666,,,,,,,,,,,,,,,,,,,,,,,,28.198537284314007,-81.62034075545247,-81.90870929204706 
 07/21  06:00:00,16.990000000000002,3.0,3.0,,,0.0,,,,27.99063673108083,,,,,,,,,,,,,,,,,,,,,,,,28.03159093560314,-1.2417192771299668,-22.00707454385747 
 07/21  07:00:00,17.769,3.0,3.0,,,0.0,,,,28.332412585582418,,,,,,,,,,,,,,,,,,,,,,,,28.22335870770226,102.70330986088062,100.64322939191834 
 07/21  08:00:00,19.783,3.0,3.0,,,0.0,,,,28.68440505234996,,,,,,,,,,,,,,,,,,,,,,,,28.532474741626217,114.40972916050185,111.38483671617541 
 07/21  09:00:00,22.557,3.0,3.0,,,0.0,,,,29.08614002127217,,,,,,,,,,,,,,,,,,,,,,,,28.90743474119197,146.66662903158186,142.53820585883943 
 07/21  10:00:00,25.255000000000003,2.375,2.375,,,0.0,,,,29.531646191962437,,,,,,,,,,,,,,,,,,,,,,,,29.347526511023304,152.3858592432358,153.38247304409055 
 07/21  11:00:00,27.649,0.75,0.75,,,0.0,,,,29.931534897570664,,,,,,,,,,,,,,,,,,,,,,,,29.767561711776857,136.24214576815334,138.82440061663274 
 07/21  12:00:00,29.454,0.0,0.0,,,0.0,,,,30.250197783272693,,,,,,,,,,,,,,,,,,,,,,,,30.120197505385878,105.63060591103618,109.94697038898688 
 07/21  13:00:00,30.784,0.0,0.0,,,0.0,,,,30.548382691618613,,,,,,,,,,,,,,,,,,,,,,,,30.41025630050566,108.64313526742718,103.89152584571235 
 07/21  14:00:00,31.715,0.0,0.0,,,0.0,,,,30.901310233766623,,,,,,,,,,,,,,,,,,,,,,,,30.762942348032446,124.18226443324298,125.6174482752871 
 07/21  15:00:00,32.0,0.0,0.0,,,0.0,,,,31.166813811513954,,,,,,,,,,,,,,,,,,,,,,,,31.08478014837401,92.949734101042,98.10645127717908 
 07/21  16:00:00,31.43,0.0,0.0,,,0.0,,,,31.28752692260266,,,,,,,,,,,,,,,,,,,,,,,,31.287350427371177,44.03269126333129,50.85530211863494 
 07/21  17:00:00,30.328,0.0,0.0,,,0.0,,,,31.268971945962825,,,,,,,,,,,,,,,,,,,,,,,,31.351026508430873,4.977108154431533,8.286015888069661 
 07/21  18:00:00,28.922,0.0,0.0,,,0.0,,,,31.140409226900225,,,,,,,,,,,,,,,,,,,,,,,,31.309234344428134,-44.06184287403579,-34.36906080872022 
 07/21  19:00:00,26.927,0.0,0.0,,,0.0,,,,30.72665284484328,,,,,,,,,,,,,,,,,,,,,,,,31.01188758879737,-172.48938438947278,-153.1675585882553 
 07/21  20:00:00,25.027,0.0,0.0,,,0.0,,,,30.24211691652109,,,,,,,,,,,,,,,,,,,,,,,,30.44395166159267,-166.41795124260167,-183.6504811537102 
 07/21  21:00:00,23.544999999999998,0.0,0.0,,,0.0,,,,29.982479014634276,,,,,,,,,,,,,,,,,,,,,,,,30.11119427938359,-85.63503261589116,-88.34611828292743 
 07/21  22:00:00,22.177,0.0,0.0,,,0.0,,,,29.748284282080668,,,,,,,,,,,,,,,,,,,,,,,,29.876693173042963,-80.74950325448317,-80.37267955109036 
 07/21  23:00:00,20.999000000000002,0.0,0.0,,,0.0,,,,29.51163382929922,,,,,,,,,,,,,,,,,,,,,,,,29.642540330277434,-80.8244533660449,-80.9558342813284 
 07/21  24:00:00,19.935000000000002,0.0,0.0,0.0,9.,0.0,-30412800.0,30412800.0,0.0,29.269303649339065,29.589045406353346,27.559897164007698,0.9973852163334697,9.78145231431199,29.70396766901757,30.18090184048518,1.0156476973605855,11.641192938947986,29.50841537407212,25.611961680100702,0.8278707875562051,11.651023500314906,29.693089106259148,30.03628581163119,1.0137286680743007,11.647548347994716,29.67423113340199,29.674214612568907,0.9239893875487257,29.74815721590359,32.36252902067638,0.813083498914385,13.389092839502185,29.405501973431388,-83.75137086326158,-83.24258041064095 
 12/21  01:00:00,-15.5,1.25,1.25,,,0.0,,,,-18.354272632934006,,,,,,,,,,,,,,,,,,,,,,,,-18.356814094290314,-0.040236814989720315,-0.04030498899785185 
 12/21  02:00:00,-15.5,3.25,3.25,,,0.0,,,,-18.354371801956503,,,,,,,,,,,,,,,,,,,,,,,,-18.356911412602024,-0.039695745619510614,-0.03976300419160013 
 12/21  03:00:00,-15.5,3.375,3.375,,,0.0,,,,-18.35446963614834,,,,,,,,,,,,,,,,,,,,,,,,-18.357007422212806,-0.039161941236823594,-0.039228296632495524 
 12/21  04:00:00,-15.5,1.125,1.125,,,0.0,,,,-18.35456615347051,,,,,,,,,,,,,,,,,,,,,,,,-18.357102140696103,-0.03863530463474829,-0.038700768937897076 
 12/21  05:00:00,-15.5,1.875,1.875,,,0.0,,,,-18.35466137164255,,,,,,,,,,,,,,,,,,,,,,,,-18.357195585390194,-0.038115739902781165,-0.03818032503784575 
 12/21  06:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.354755308145705,,,,,,,,,,,,,,,,,,,,,,,,-18.357287773401293,-0.03760315239621237,-0.037666870137361565 
 12/21  07:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.354847980226218,,,,,,,,,,,,,,,,,,,,,,,,-18.357378721606665,-0.03709744873922727,-0.03716031069177528 
 12/21  08:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.354939404898396,,,,,,,,,,,,,,,,,,,,,,,,-18.357468446657652,-0.03659853677904268,-0.036660554401591904 
 12/21  09:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.355029598947766,,,,,,,,,,,,,,,,,,,,,,,,-18.35755696498265,-0.036106325593117106,-0.036167510192246274 
 12/21  10:00:00,-15.5,2.375,2.375,,,0.0,,,,-18.355118578934174,,,,,,,,,,,,,,,,,,,,,,,,-18.357644292790106,-0.03562072547065265,-0.03568108819923338 
