Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 07/21  01:00:00,18.966,1.25,1.25,,,0.0,,,,28.216788385536233,,,,,,,,,,,,,,,,,,,,,,,,28.40259327905194,-124.3043884012338,-124.27702723657168 
 07/21  02:00:00,18.244,3.25,3.25,,,0.0,,,,27.86432553873012,,,,,,,,,,,,,,,,,,,,,,,,28.04880159399718,-120.63004552807962,-121.39645290139576 
 07/21  03:00:00,17.731,3.375,3.375,,,0.0,,,,27.524034747819492,,,,,,,,,,,,,,,,,,,,,,,,27.70703715434507,-117.28935850033025,-117.70428512102978 
 07/21  04:00:00,17.275000000000002,1.125,1.125,,,0.0,,,,27.186970062861697,,,,,,,,,,,,,,,,,,,,,,,,27.37085312132923,-117.28618571127949,-117.2074771146135 
 07/21  05:00:00,16.913999999999998,1.875,1.875,,,0.0,,,,26.855688909322012,,,,,,,,,,,,,,,,,,,,,,,,27.03750485187261,-114.51172793993155,-115.08317884348475 
 07/21  06:00:00,16.990000000000002,3.0,3.0,,,0.0,,,,26.806288166344505,,,,,,,,,,,,,,,,,,,,,,,,26.827757220412195,23.32225825873674,-11.24785346163005 
 07/21  07:00:00,17.769,3.0,3.0,,,0.0,,,,27.378318387205397,,,,,,,,,,,,,,,,,,,,,,,,27.200835478453918,179.6221066506768,178.80241166303531 
 07/21  08:00:00,19.783,3.0,3.0,,,0.0,,,,27.87477030131284,,,,,,,,,,,,,,,,,,,,,,,,27.717460226910962,187.21999962878627,183.32572573231295 
 07/21  09:00:00,22.557,3.0,3.0,,,0.0,,,,28.43075435270578,,,,,,,,,,,,,,,,,,,,,,,,28.28489991331216,207.9644267697739,205.0964248160614 
 07/21  10:00:00,25.255000000000003,2.375,2.375,,,0.0,,,,29.049477233909442,,,,,,,,,,,,,,,,,,,,,,,,28.891644171098946,204.36006247644707,207.41563977499015 
 07/21  11:00:00,27.649,0.75,0.75,,,0.0,,,,29.578724461804597,,,,,,,,,,,,,,,,,,,,,,,,29.440788103874915,174.55988817012152,178.70445221001438 
 07/21  12:00:00,29.454,0.0,0.0,,,0.0,,,,29.976204315781324,,,,,,,,,,,,,,,,,,,,,,,,29.87831688585955,125.57550083954963,132.37740616400558 
 07/21  13:00:00,30.784,0.0,0.0,,,0.0,,,,30.360740030419862,,,,,,,,,,,,,,,,,,,,,,,,30.231098821055248,145.3407128119619,134.45606796924187 
 07/21  14:00:00,31.715,0.0,0.0,,,0.0,,,,30.877785343952894,,,,,,,,,,,,,,,,,,,,,,,,30.740992673008385,186.0398684004872,187.49159676377056 
 07/21  15:00:00,32.0,0.0,0.0,,,0.0,,,,31.283001615434234,,,,,,,,,,,,,,,,,,,,,,,,31.22875127232421,142.3058839218961,149.80367391803895 
 07/21  16:00:00,31.43,0.0,0.0,,,0.0,,,,31.481292560223267,,,,,,,,,,,,,,,,,,,,,,,,31.54402800843253,71.02214624830566,80.93054021985652 
 07/21  17:00:00,30.328,0.0,0.0,,,0.0,,,,31.487725843973486,,,,,,,,,,,,,,,,,,,,,,,,31.663822909411497,20.54561629378645,24.081908834913715 
 07/21  18:00:00,28.922,0.0,0.0,,,0.0,,,,31.367283327805513,,,,,,,,,,,,,,,,,,,,,,,,31.627602802672286,-63.35876452284932,-46.90284506623888 
 07/21  19:00:00,26.927,0.0,0.0,,,0.0,,,,30.76971414037974,,,,,,,,,,,,,,,,,,,,,,,,31.175707688574896,-270.94364736347086,-238.01425633495614 
 07/21  20:00:00,25.027,0.0,0.0,,,0.0,,,,30.00726286126099,,,,,,,,,,,,,,,,,,,,,,,,30.28135183824088,-254.20450340256235,-285.0951728920696 
 07/21  21:00:00,23.544999999999998,0.0,0.0,,,0.0,,,,29.61997806701546,,,,,,,,,,,,,,,,,,,,,,,,29.79124046988383,-124.30092545324362,-127.53768470495723 
 07/21  22:00:00,22.177,0.0,0.0,,,0.0,,,,29.276653370326365,,,,,,,,,,,,,,,,,,,,,,,,29.448913744984864,-118.7122685993368,-118.1129166846879 
 07/21  23:00:00,20.999000000000002,0.0,0.0,,,0.0,,,,28.93068769176445,,,,,,,,,,,,,,,,,,,,,,,,29.105718029516517,-118.27070845085169,-118.59561984414907 
