Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 07/21  01:00:00,18.966,1.25,1.25,,,0.0,,,,28.403682965064938,,,,,,,,,,,,,,,,,,,,,,,,28.561110649179952,-95.36970339431724,-95.28451082035025 
 07/21  02:00:00,18.244,3.25,3.25,,,0.0,,,,28.12035130847199,,,,,,,,,,,,,,,,,,,,,,,,28.277387057404063,-93.09698855018694,-93.60784367295881 
 07/21  03:00:00,17.731,3.375,3.375,,,0.0,,,,27.845351028394287,,,,,,,,,,,,,,,,,,,,,,,,28.001745155161043,-90.96087492163532,-91.21903760960899 
 07/21  04:00:00,17.275000000000002,1.125,1.125,,,0.0,,,,27.571706888637486,,,,,,,,,,,,,,,,,,,,,,,,27.729366205318634,-91.2974385805592,-91.18763973434264 
 07/21  05:00:00,16.913999999999998,1.875,1.875,,,0.0,,,,27.301424545185014,,,,,,,,,,,,,,,,,,,,,,,,27.457990360612836,-89.64965380694011,-90.02036073554929 
 07/21  06:00:00,16.990000000000002,3.0,3.0,,,0.0,,,,27.231868867372285,,,,,,,,,,,,,,,,,,,,,,,,27.272845312893825,3.65253291905098,-20.099481638742507 
 07/21  07:00:00,17.769,3.0,3.0,,,0.0,,,,27.625746372244304,,,,,,,,,,,,,,,,,,,,,,,,27.507744268830862,114.80423742870731,113.87878664800455 
 07/21  08:00:00,19.783,3.0,3.0,,,0.0,,,,28.00434387030805,,,,,,,,,,,,,,,,,,,,,,,,27.854123935543456,121.02986191986841,118.0470252455224 
 07/21  09:00:00,22.557,3.0,3.0,,,0.0,,,,28.4544641297103,,,,,,,,,,,,,,,,,,,,,,,,28.26949343074392,159.88015309610745,154.1038353607013 
 07/21  10:00:00,25.255000000000003,2.375,2.375,,,0.0,,,,28.982629523826983,,,,,,,,,,,,,,,,,,,,,,,,28.783249176613854,174.761861602775,175.23427445206826 
 07/21  11:00:00,27.649,0.75,0.75,,,0.0,,,,29.461751390284405,,,,,,,,,,,,,,,,,,,,,,,,29.287773697451485,158.11427307362322,160.95170881131722 
 07/21  12:00:00,29.454,0.0,0.0,,,0.0,,,,29.84723338346643,,,,,,,,,,,,,,,,,,,,,,,,29.71414630043437,122.92606905244244,127.92838902784247 
 07/21  13:00:00,30.784,0.0,0.0,,,0.0,,,,30.201190027367716,,,,,,,,,,,,,,,,,,,,,,,,30.06363218574052,123.79201256012108,119.0888296385859 
 07/21  14:00:00,31.715,0.0,0.0,,,0.0,,,,30.60256454399201,,,,,,,,,,,,,,,,,,,,,,,,30.471441264810004,135.13408860325586,137.3615831134378 
 07/21  15:00:00,32.0,0.0,0.0,,,0.0,,,,30.896041170519894,,,,,,,,,,,,,,,,,,,,,,,,30.828713376315534,96.54586460224007,102.6794269541371 
 07/21  16:00:00,31.43,0.0,0.0,,,0.0,,,,31.013653577656555,,,,,,,,,,,,,,,,,,,,,,,,31.037441221857588,39.011292171909126,46.908842908340574 
 07/21  17:00:00,30.328,0.0,0.0,,,0.0,,,,30.979871709716253,,,,,,,,,,,,,,,,,,,,,,,,31.085124049459573,0.9619892975691233,3.131800174124638 
 07/21  18:00:00,28.922,0.0,0.0,,,0.0,,,,30.85324993770682,,,,,,,,,,,,,,,,,,,,,,,,31.038581096410077,-44.977986353152374,-34.70535237264731 
 07/21  19:00:00,26.927,0.0,0.0,,,0.0,,,,30.39095325517124,,,,,,,,,,,,,,,,,,,,,,,,30.706996476828614,-190.74566622415432,-167.69374644204782 
 07/21  20:00:00,25.027,0.0,0.0,,,0.0,,,,29.823010815047123,,,,,,,,,,,,,,,,,,,,,,,,30.046510498518344,-184.9453788533771,-205.27004610324607 
 07/21  21:00:00,23.544999999999998,0.0,0.0,,,0.0,,,,29.520610640954636,,,,,,,,,,,,,,,,,,,,,,,,29.664150475430105,-94.70935784578887,-97.44023491797739 
 07/21  22:00:00,22.177,0.0,0.0,,,0.0,,,,29.248730997253297,,,,,,,,,,,,,,,,,,,,,,,,29.393038367864236,-90.10638337536491,-89.64021891252168 
 07/21  23:00:00,20.999000000000002,0.0,0.0,,,0.0,,,,28.97408275337773,,,,,,,,,,,,,,,,,,,,,,,,29.121307167109634,-90.09911714942078,-90.28546520714539 
 07/21  24:00:00,19.935000000000002,0.0,0.0,0.0,9.,0.0,-30412800.0,30412800.0,0.0,28.693239392372078,29.082229385761593,27.56146215405204,1.0572161203742891,9.783774026310008,29.227830175152437,30.168919007758785,1.08374819576648,11.643977888700098,28.981511387206357,25.62249649013677,0.8815197015818802,11.653436001178934,29.212977051771876,30.02592438588411,1.090452537271923,11.650183093086936,29.16335791587517,29.163342681922483,0.9730925809250909,29.250670719023727,32.357784598425184,0.8122368829335334,13.388952458686063,28.84654911798018,-93.3760922102456,-92.80670675980683 
 12/21  01:00:00,-15.5,1.25,1.25,,,0.0,,,,-18.18563601581278,,,,,,,,,,,,,,,,,,,,,,,,-18.188744144570784,-0.028218392797712433,-0.028275614095439057 
 12/21  02:00:00,-15.5,3.25,3.25,,,0.0,,,,-18.1857087577846,,,,,,,,,,,,,,,,,,,,,,,,-18.188815190730697,-0.027764936833069687,-0.027821239895399474 
 12/21  03:00:00,-15.5,3.375,3.375,,,0.0,,,,-18.18578032975063,,,,,,,,,,,,,,,,,,,,,,,,-18.188885095180517,-0.027318757346579403,-0.027374156866387545 
 12/21  04:00:00,-15.5,1.125,1.125,,,0.0,,,,-18.185850750522906,,,,,,,,,,,,,,,,,,,,,,,,-18.18895387624206,-0.02687973795251075,-0.026934248381704627 
 12/21  05:00:00,-15.5,1.875,1.875,,,0.0,,,,-18.185920038611236,,,,,,,,,,,,,,,,,,,,,,,,-18.18902155194401,-0.026447764123357143,-0.026501399682226593 
 12/21  06:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.185988212228043,,,,,,,,,,,,,,,,,,,,,,,,-18.18908814002669,-0.026022723136386983,-0.02607549783114013 
 12/21  07:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.186055289293137,,,,,,,,,,,,,,,,,,,,,,,,-18.189153657946513,-0.02560450406279635,-0.02565643166160523 
 12/21  08:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.1861212874384,,,,,,,,,,,,,,,,,,,,,,,,-18.18921812288057,-0.025192997737589984,-0.025244091803802857 
 12/21  09:00:00,-15.5,3.0,3.0,,,0.0,,,,-18.186186224012427,,,,,,,,,,,,,,,,,,,,,,,,-18.18928155173105,-0.02478809672797988,-0.024838370600538978 
 12/21  10:00:00,-15.5,2.375,2.375,,,0.0,,,,-18.186250116085034,,,,,,,,,,,,,,,,,,,,,,,,-18.189343961129588,-0.024389695311512583,-0.024439162121571843 
 12/21  11:00:00,-15.5,0.75,0.75,,,0.0,,,,-18.18631298045176,,,,,,,,,,,,,,,,,,,,,,,,-18.18940536744161,-0.023997689437442293,-0.02404636210913046 
 12/21  12:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.186374833638254,,,,,,,,,,,,,,,,,,,,,,,,-18.189465786770484,-0.023611976721045647,-0.023659867965832714 
 12/21  13:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.186435691904602,,,,,,,,,,,,,,,,,,,,,,,,-18.189525234961792,-0.02323245640110594,-0.02327957872699232 
 12/21  14:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.186495571249594,,,,,,,,,,,,,,,,,,,,,,,,-18.189583727607346,-0.022859029315566826,-0.02290539504345611 
 12/21  15:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.186554487414945,,,,,,,,,,,,,,,,,,,,,,,,-18.1896412800493,-0.02249159788778954,-0.022537219138186987 
 12/21  16:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.186612455889346,,,,,,,,,,,,,,,,,,,,,,,,-18.189697907384048,-0.02213006608645607,-0.022174954782553172 
 12/21  17:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.186669491912603,,,,,,,,,,,,,,,,,,,,,,,,-18.189753624466196,-0.021774339413754173,-0.02181850729521948 
 12/21  18:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.18672561047959,,,,,,,,,,,,,,,,,,,,,,,,-18.18980844591236,-0.021424324885138013,-0.021467783488702045 
 12/21  19:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.186780826344165,,,,,,,,,,,,,,,,,,,,,,,,-18.18986238610502,-0.021079930980812733,-0.021122691675906462 
 12/21  20:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.1868351540231,,,,,,,,,,,,,,,,,,,,,,,,-18.1899154591962,-0.020741067649220124,-0.020783141617272616 
 12/21  21:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.186888607799823,,,,,,,,,,,,,,,,,,,,,,,,-18.189967679111177,-0.020407646273211455,-0.020449044519400234 
 12/21  22:00:00,-15.5,0.0,0.0,,,0.0,,,,-18.186941201728192,,,,,,,,,,,,,,,,,,,,,,,,-18.19001905955206,-0.020079579644071366,-0.02012031300005722 
