Boiler CE,Boiler space heating CE,Boiler space cooling CE,Boiler space cond'g CE,Boiler DHW CE,Chiller CE,Chiller heat rej. pump CE,System auxiliary energy CE,DHW & solar heating pump CE,Lights CE,Boiler pump CE [obs],System air fan CE [obs],Aux mech vent fan CE [obs],Sys Boiler process CE,Sys Chiller process CE
0.36873296,0.36873296,0.0,0.36873296,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.37003642,0.37003642,0.0,0.37003642,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.37202293,0.37202293,0.0,0.37202293,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.374421,0.374421,0.0,0.374421,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.37656718,0.37656718,0.0,0.37656718,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.37899268,0.37899268,0.0,0.37899268,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.38177484,0.38177484,0.0,0.38177484,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.38348943,0.38348943,0.0,0.38348943,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.3435947,0.3435947,0.0,0.3435947,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.24402197,0.24402197,0.0,0.24402197,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.17937887,0.17937887,0.0,0.17937887,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.16503148,0.16503148,0.0,0.16503148,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.16235171,0.16235171,0.0,0.16235171,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.17257215,0.17257215,0.0,0.17257215,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.21877319,0.21877319,0.0,0.21877319,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.28997225,0.28997225,0.0,0.28997225,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.32684702,0.32684702,0.0,0.32684702,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.34044257,0.34044257,0.0,0.34044257,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.35151094,0.35151094,0.0,0.35151094,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.36066237,0.36066237,0.0,0.36066237,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.36776224,0.36776224,0.0,0.36776224,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.37391442,0.37391442,0.0,0.37391442,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.38050777,0.38050777,0.0,0.38050777,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.3858053,0.3858053,0.0,0.3858053,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.39134276,0.39134276,0.0,0.39134276,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.39468944,0.39468944,0.0,0.39468944,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.39785135,0.39785135,0.0,0.39785135,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.40155256,0.40155256,0.0,0.40155256,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
