System elec. CE,System nat. gas CE,Total CE ex equip,Total system CE,CoSP rooms heating CE [obs],CoSP rooms cooling CE [obs],CoSP rooms humid. CE [obs],CoSP rooms dehum. CE [obs],CoSP mech vent htg CE [obs],CoSP mech vent clg CE [obs],CoSP mech vent dehum CE [obs],System LPG CE,System biogas CE,System oil CE,System coal CE,System anthracite CE,System smokeless CE,System dual fuel CE,System biomass CE,System elec. (misc.) CE,System grid disp. elec. CE,System waste heat CE,System Misc. A CE,System Misc. B CE,System Misc. C CE,System Misc. D CE,System Misc. E CE,System Misc. F CE,System Misc. G CE,System Misc. H CE,System Misc. I CE,System Misc. J CE,System Misc. K CE,System Misc. L CE,System Misc. M CE,System Misc. N CE,System Misc. O CE,System Misc. P CE,System Misc. Q CE,System Misc. R CE,System Misc. S CE,System Misc. T CE,System Misc. U CE,System Misc. V CE,System Misc. W CE,System Misc. X CE,System Misc. Y CE,System Misc. Z CE,System grid disp. elec. PV CE,System bivalent heating CE,Lights nat. gas CE,Lights LPG CE,Lights biogas CE,Lights oil CE,Lights coal CE,Lights anthracite CE,Lights smokeless CE,Lights dual fuel CE,Lights biomass CE,Lights elec. CE,Lights grid disp. elec. CE,Lights waste heat CE,Lights Misc. A CE,Lights Misc. B CE,Lights Misc. C CE,Lights Misc. D CE,Lights Misc. E CE,Lights Misc. F CE,Lights Misc. G CE,Lights Misc. H CE,Lights Misc. I CE,Lights Misc. J CE,Lights Misc. K CE,Lights Misc. L CE,Lights Misc. M CE,Lights Misc. N CE,Lights Misc. O CE,Lights Misc. P CE,Lights Misc. Q CE,Lights Misc. R CE,Lights Misc. S CE,Lights Misc. T CE,Lights Misc. U CE,Lights Misc. V CE,Lights Misc. W CE,Lights Misc. X CE,Lights Misc. Y CE,Lights Misc. Z CE,Total lights CE,Equip nat. gas CE,Equip LPG CE,Equip biogas CE,Equip oil CE,Equip coal CE,Equip anthracite CE,Equip smokeless CE,Equip dual fuel CE,Equip biomass CE,Equip elec. CE,Equip grid disp. elec. CE,Equip waste heat CE,Equip Misc. A CE,Equip Misc. B CE,Equip Misc. C CE,Equip Misc. D CE,Equip Misc. E CE,Equip Misc. F CE,Equip Misc. G CE,Equip Misc. H CE,Equip Misc. I CE,Equip Misc. J CE,Equip Misc. K CE,Equip Misc. L CE,Equip Misc. M CE,Equip Misc. N CE,Equip Misc. O CE,Equip Misc. P CE,Equip Misc. Q CE,Equip Misc. R CE,Equip Misc. S CE,Equip Misc. T CE,Equip Misc. U CE,Equip Misc. V CE,Equip Misc. W CE,Equip Misc. X CE,Equip Misc. Y CE,Equip Misc. Z CE,Total equip CE,Total nat. gas CE,Total LPG CE,Total biogas CE,Total oil CE,Total coal CE,Total anthracite CE,Total smokeless CE,Total dual fuel CE,Total biomass CE,Total elec. CE,Total elec. (misc.) CE,Total grid disp. elec. CE,Total waste heat CE,Total Misc. A CE,Total Misc. B CE,Total Misc. C CE,Total Misc. D CE,Total Misc. E CE,Total Misc. F CE,Total Misc. G CE,Total Misc. H CE,Total Misc. I CE,Total Misc. J CE,Total Misc. K CE,Total Misc. L CE,Total Misc. M CE,Total Misc. N CE,Total Misc. O CE,Total Misc. P CE,Total Misc. Q CE,Total Misc. R CE,Total Misc. S CE,Total Misc. T CE,Total Misc. U CE,Total Misc. V CE,Total Misc. W CE,Total Misc. X CE,Total Misc. Y CE,Total Misc. Z CE,Total grid disp. elec. PV CE,Total bivalent heating CE,Total CE,NCM heating CE,NCM cooling CE,NCM CH(C)P CE,NCM auxiliary CE,NCM lighting CE,NCM DHW CE,NCM total CE [ex renewables],NCM heat pump heating CE
0.18801203,0.17937885,0.36739087,0.36739087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.17937885,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36739087,,,,,,,,
0.18801203,0.1650315,0.35304353,0.35304353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1650315,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35304353,,,,,,,,
0.18801203,0.1623517,0.35036373,0.35036373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1623517,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35036373,,,,,,,,
0.18801203,0.17257214,0.36058417,0.36058417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.17257214,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36058417,,,,,,,,
0.18801203,0.21877317,0.4067852,0.4067852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.21877317,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067852,,,,,,,,
0.18801203,0.28997225,0.47798428,0.47798428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.28997225,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47798428,,,,,,,,
0.18801203,0.32684702,0.5148591,0.5148591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.32684702,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5148591,,,,,,,,
0.18801203,0.34044257,0.5284546,0.5284546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.34044257,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5284546,,,,,,,,
0.18801203,0.3515109,0.53952295,0.53952295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3515109,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53952295,,,,,,,,
0.18801203,0.36066234,0.54867435,0.54867435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.36066234,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54867435,,,,,,,,
0.18801203,0.36776218,0.5557742,0.5557742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.36776218,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5557742,,,,,,,,
0.18801203,0.3739144,0.5619264,0.5619264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3739144,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5619264,,,,,,,,
0.18801203,0.38050774,0.5685198,0.5685198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.38050774,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5685198,,,,,,,,
0.18801203,0.3858053,0.5738174,0.5738174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3858053,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5738174,,,,,,,,
0.18801203,0.3913427,0.57935476,0.57935476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3913427,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57935476,,,,,,,,
0.18801203,0.39468947,0.5827015,0.5827015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.39468947,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5827015,,,,,,,,
0.18801203,0.39785132,0.58586335,0.58586335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.39785132,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58586335,,,,,,,,
0.18801203,0.40155253,0.58956456,0.58956456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.40155253,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58956456,,,,,,,,
0.18801203,0.40330413,0.59131616,0.59131616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.40330413,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59131616,,,,,,,,
0.18801203,0.4048764,0.5928885,0.5928885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4048764,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5928885,,,,,,,,
0.18801203,0.40537125,0.5933833,0.5933833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.40537125,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5933833,,,,,,,,
0.18801203,0.4051795,0.5931915,0.5931915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4051795,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5931915,,,,,,,,
0.18801203,0.39392155,0.5819336,0.5819336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.39392155,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5819336,,,,,,,,
0.18801203,0.3619982,0.5500102,0.5500102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3619982,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5500102,,,,,,,,
0.18801203,0.29730576,0.4853178,0.4853178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.29730576,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4853178,,,,,,,,
0.18801203,0.23839645,0.42640847,0.42640847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.23839645,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42640847,,,,,,,,
0.18801203,0.21050152,0.39851356,0.39851356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.21050152,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39851356,,,,,,,,
0.18801203,0.20187795,0.38989,0.38989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.20187795,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38989,,,,,,,,
0.18801203,0.22588961,0.41390163,0.41390163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.22588961,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41390163,,,,,,,,
0.18801203,0.29698107,0.4849931,0.4849931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.29698107,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4849931,,,,,,,,
0.18801203,0.360719,0.548731,0.548731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.360719,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.548731,,,,,,,,
0.18801203,0.3781882,0.56620026,0.56620026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3781882,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56620026,,,,,,,,
0.18801203,0.38820866,0.5762207,0.5762207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.38820866,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5762207,,,,,,,,
0.18801203,0.3960141,0.5840261,0.5840261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3960141,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5840261,,,,,,,,
0.18801203,0.4023474,0.59035945,0.59035945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4023474,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59035945,,,,,,,,
0.18801203,0.40857324,0.5965853,0.5965853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.40857324,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5965853,,,,,,,,
0.18801203,0.41278946,0.60080147,0.60080147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.41278946,,,,,,,,,0.18801203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60080147,,,,,,,,
