Room heating plant sens. load,Room hum. plant load,System air heating load,Aux vent heating load,DHW heating demand,DHW flow rate,Solar heating system input,Solar htg system tank temp,DHW solar htg system panel temp,DHW solar htg system flow rate,DHW solar heat input,Boiler load,Boiler space heating load,Boiler space cooling load,Boiler space cond'g load,Boiler DHW load,CH[C]P heat contribution,Room cooling plant sens. load,Room dehum. plant load,System air sens. clg. load,System air lat. clg. load,Aux vent sens. clg. load,Aux vent lat. clg. load,Chiller load,System air flow rate,System air heat recovery temp,System air supply temperature,System air supply moisture content,Aux vent flow rate,Boiler process load,Chiller process load,Process heat removal,Process heat available for recovery,Process heat recovered,Process heat recovery heat pump
5222.932,0.0,0.0,0.0,0.0,,0.0,,,,,5810.5117,5810.5117,0.0,5810.5117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3500001,2.3500001,0.0039749863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5315.03,0.0,0.0,0.0,0.0,,0.0,,,,,5912.97,5912.97,0.0,5912.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6000001,1.6000001,0.0038211835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5389.027,0.0,0.0,0.0,0.0,,0.0,,,,,5995.2925,5995.2925,0.0,5995.2925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000001,1.1000001,0.0036752748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5466.375,0.0,0.0,0.0,0.0,,0.0,,,,,6081.342,6081.342,0.0,6081.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79999995,0.79999995,0.0036253878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5513.1226,0.0,0.0,0.0,0.0,,0.0,,,,,6133.349,6133.349,0.0,6133.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000001,0.7000001,0.003597261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5557.289,0.0,0.0,0.0,0.0,,0.0,,,,,6182.484,6182.484,0.0,6182.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45000002,0.45000002,0.003572949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5608.9883,0.0,0.0,0.0,0.0,,0.0,,,,,6239.9995,6239.9995,0.0,6239.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0035425776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5633.4556,0.0,0.0,0.0,0.0,,0.0,,,,,6267.2188,6267.2188,0.0,6267.2188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0035238103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5655.4175,0.0,0.0,0.0,0.0,,0.0,,,,,6291.6523,6291.6523,0.0,6291.6523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999999,0.14999999,0.0034897856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5662.329,0.0,0.0,0.0,0.0,,0.0,,,,,6299.341,6299.341,0.0,6299.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000002,0.35000002,0.0035171267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5659.6514,0.0,0.0,0.0,0.0,,0.0,,,,,6296.362,6296.362,0.0,6296.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5500001,0.5500001,0.003544706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
